date,dii_score,event,annotation,ndwi_score,ndvi_score,slope_degrees,rainfall_forecast_mm,breach_proximity_score,breach_in_30_days
2019-09-01,0.22,Normal,Post-monsoon recovery - embankment drying,0.09,0.61,21,8,0.85,0
2019-10-01,0.19,Normal,Dry season onset - DII declining,0.08,0.64,21,5,0.85,0
2019-11-01,0.17,Normal,Winter stable - no rainfall activity,0.07,0.67,21,3,0.85,0
2019-12-01,0.18,Normal,Peak winter dry - embankment fully stable,0.08,0.66,21,2,0.85,0
2020-01-01,0.31,Normal,Winter dry season - embankment stable,0.12,0.55,21,15,0.85,0
2020-02-01,0.38,Normal,Temperature rise - minor upstream snowmelt,0.16,0.42,21,18,0.85,0
2020-03-01,0.52,ELEVATED,Pre-monsoon moisture onset - NDWI rising,0.26,0.28,21,45,0.85,0
2020-03-15,0.57,ELEVATED,Moisture penetration deepening into embankment,0.29,0.24,21,58,0.85,0
2020-04-01,0.61,ELEVATED,Early monsoon arrival - sustained rainfall begins,0.32,0.19,21,78,0.85,1
2020-04-07,0.71,CRITICAL,Critical threshold crossed - inspection warranted,0.40,0.12,21,112,0.85,1
2020-04-14,0.79,CRITICAL,Heavy sustained rainfall - NDWI 0.44 seepage active,0.44,0.09,21,138,0.85,1
2020-04-20,0.86,BREACH,ACTUAL BREACH EVENT - Rihand reservoir contaminated,0.48,0.07,21,155,0.85,1
2020-05-01,0.74,CRITICAL,Post-breach emergency response - pumping active,0.45,0.08,21,142,0.85,1
2020-05-15,0.65,ELEVATED,Partial containment achieved - DII declining,0.38,0.11,21,98,0.85,1
2020-06-01,0.54,ELEVATED,Repair works ongoing - embankment reinforced,0.31,0.16,21,72,0.85,0
2020-06-15,0.46,ELEVATED,Monsoon peak passing - rainfall reducing,0.27,0.21,21,61,0.85,0
2020-07-01,0.38,Normal,Stabilisation confirmed - DII below threshold,0.19,0.34,21,42,0.85,0
2020-07-15,0.31,Normal,Post-repair monitoring - all sensors normal,0.14,0.44,21,28,0.85,0
2020-08-01,0.26,Normal,Late monsoon recession - embankment stable,0.11,0.52,21,18,0.85,0
2020-09-01,0.21,Normal,Full recovery - DII at baseline,0.09,0.59,21,9,0.85,0
