event_id,plant_name,region,season,ndwi_score,ndvi_score,slope_degrees,rainfall_forecast_mm,breach_proximity_score,observation_duration_days,breached,failure_mode,source
E001,Sasan UMPP,Singrauli,Early Monsoon,0.48,0.07,21.0,155.0,0.85,110,1,Seepage + sustained rainfall,CAG Report 2021
E002,Amarkantak TPS,Singrauli,Pre-Monsoon,0.38,0.15,16.0,120.0,0.65,45,1,Embankment saturation heavy rainfall,NGT Order 2022
E003,NTPC Unchahar,Uttar Pradesh,Post-Monsoon,0.25,0.2,18.0,8.0,0.7,90,1,Dry cracking structural failure,Parliamentary Committee 2000
E004,Raichur TPS,Karnataka,Peak Monsoon,0.42,0.1,14.0,168.0,0.55,75,1,Sustained monsoon rainfall seepage,KSPCB Report 2019
E005,Bokaro TPS,Jharkhand,Monsoon,0.33,0.18,12.0,98.0,0.8,60,1,Partial breach proximity old failure,JSPCB Report 2017
E006,Obra TPS,Uttar Pradesh,Peak Monsoon,0.4,0.12,17.0,142.0,0.6,55,1,Seepage driven peak monsoon,UPPCB Report 2020
S001,Sasan UMPP,Singrauli,Monsoon,0.15,0.48,21.0,85.0,0.85,180,0,Stable monitoring period 2019,Site monitoring records
S002,Amarkantak TPS,Singrauli,Monsoon,0.1,0.55,16.0,30.0,0.65,180,0,Stable monitoring period 2021,Site monitoring records
S003,NTPC Unchahar,Uttar Pradesh,Monsoon,0.08,0.62,18.0,25.0,0.7,200,0,Stable monitoring period 1998,Site monitoring records
S004,Raichur TPS,Karnataka,Monsoon,0.12,0.5,14.0,95.0,0.55,150,0,Stable monitoring period 2018,KSPCB baseline data
S005,Bokaro TPS,Jharkhand,Monsoon,0.11,0.52,12.0,65.0,0.8,180,0,Stable monitoring period 2016,JSPCB baseline data
S006,Obra TPS,Uttar Pradesh,Monsoon,0.09,0.58,17.0,72.0,0.6,160,0,Stable monitoring period 2019,UPPCB baseline data
E001_aug1,Sasan UMPP,Singrauli,Early Monsoon,0.495,0.077,20.7,156.0,0.857,108,1,Seepage + sustained rainfall,CAG Report 2021
E002_aug1,Amarkantak TPS,Singrauli,Pre-Monsoon,0.376,0.093,16.1,110.2,0.615,42,1,Embankment saturation heavy rainfall,NGT Order 2022
E003_aug1,NTPC Unchahar,Uttar Pradesh,Post-Monsoon,0.269,0.148,17.4,1.4,0.706,93,1,Dry cracking structural failure,Parliamentary Committee 2000
E004_aug1,Raichur TPS,Karnataka,Peak Monsoon,0.466,0.083,14.2,169.0,0.542,78,1,Sustained monsoon rainfall seepage,KSPCB Report 2019
E005_aug1,Bokaro TPS,Jharkhand,Monsoon,0.323,0.15,11.7,101.7,0.786,62,1,Partial breach proximity old failure,JSPCB Report 2017
E006_aug1,Obra TPS,Uttar Pradesh,Peak Monsoon,0.393,0.129,16.9,142.9,0.612,56,1,Seepage driven peak monsoon,UPPCB Report 2020
S001_aug1,Sasan UMPP,Singrauli,Monsoon,0.197,0.453,20.7,84.4,0.871,179,0,Stable monitoring period 2019,Site monitoring records
S002_aug1,Amarkantak TPS,Singrauli,Monsoon,0.123,0.508,16.9,28.5,0.669,180,0,Stable monitoring period 2021,Site monitoring records
S003_aug1,NTPC Unchahar,Uttar Pradesh,Monsoon,0.066,0.664,18.0,17.6,0.683,202,0,Stable monitoring period 1998,Site monitoring records
S004_aug1,Raichur TPS,Karnataka,Monsoon,0.136,0.493,13.5,91.4,0.544,149,0,Stable monitoring period 2018,KSPCB baseline data
S005_aug1,Bokaro TPS,Jharkhand,Monsoon,0.096,0.522,12.4,62.7,0.807,179,0,Stable monitoring period 2016,JSPCB baseline data
S006_aug1,Obra TPS,Uttar Pradesh,Monsoon,0.076,0.537,16.4,77.3,0.62,157,0,Stable monitoring period 2019,UPPCB baseline data
E001_aug2,Sasan UMPP,Singrauli,Early Monsoon,0.49,0.047,21.5,149.5,0.841,112,1,Seepage + sustained rainfall,CAG Report 2021
E002_aug2,Amarkantak TPS,Singrauli,Pre-Monsoon,0.378,0.163,15.9,124.6,0.648,46,1,Embankment saturation heavy rainfall,NGT Order 2022
E003_aug2,NTPC Unchahar,Uttar Pradesh,Post-Monsoon,0.264,0.226,17.6,4.7,0.725,90,1,Dry cracking structural failure,Parliamentary Committee 2000
E004_aug2,Raichur TPS,Karnataka,Peak Monsoon,0.442,0.169,13.8,165.4,0.521,73,1,Sustained monsoon rainfall seepage,KSPCB Report 2019
E005_aug2,Bokaro TPS,Jharkhand,Monsoon,0.307,0.229,12.4,99.5,0.807,62,1,Partial breach proximity old failure,JSPCB Report 2017
E006_aug2,Obra TPS,Uttar Pradesh,Peak Monsoon,0.375,0.145,16.9,134.7,0.639,57,1,Seepage driven peak monsoon,UPPCB Report 2020
S001_aug2,Sasan UMPP,Singrauli,Monsoon,0.145,0.489,21.4,81.7,0.889,179,0,Stable monitoring period 2019,Site monitoring records
S002_aug2,Amarkantak TPS,Singrauli,Monsoon,0.071,0.577,15.3,29.3,0.611,183,0,Stable monitoring period 2021,Site monitoring records
